model,lookback,params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
lstm,8,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",40,3.048693179152906e-05,0.005974825272878865,0.005223653311875043,0.5122017874005969,-0.0015143188706271849,0.0015143188706271849,11753.803704647917,10545.965311899796,5.7294288878803155,-1693.6111250696383,1693.6111250696383,11753.803704647917,1693.6111250696383
lstm,12,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",65,4.4403648644220084e-05,0.006847131759913278,0.005559197659638105,0.5463050011039857,-0.0026544901600711545,0.0026544901600711545,12688.40587162777,10773.507990574439,6.003637550451835,-3880.170601494922,3880.170601494922,12688.40587162777,3880.170601494922
lstm,12,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",49,3.2574054785072803e-05,0.005779876766185837,0.005405204850686141,0.5282145047969771,0.0019806143769390385,0.0019806143769390385,12688.55161654279,11734.807626450278,6.147593248973411,5530.594375540165,5530.594375540165,12688.55161654279,5530.594375540165
lstm,6,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",44,1.9284245354356244e-05,0.0056500563168294495,0.00514007801124079,0.5014569830011837,0.0028410104045040407,0.0028410104045040407,12862.820509748737,11462.080389663193,5.901776604935557,7203.008878167527,7203.008878167527,12862.820509748737,7203.008878167527
lstm,8,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",43,3.8841717469040304e-05,0.006622700153387294,0.005765859579348586,0.5654650607664999,-0.0019248220196597776,0.0019248220196597776,12970.817239656975,11587.649470322676,6.301364389848583,-2310.3309370241577,2310.3309370241577,12970.817239656975,2310.3309370241577
lstm,6,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",66,2.2654743588645943e-05,0.006848372528510334,0.0059780153504245485,0.5859820481626995,-0.0059780153504245485,0.0059780153504245485,13201.281872373205,11796.8713162291,6.40823903595939,-11796.8713162291,11796.8713162291,13201.281872373205,11796.8713162291
lstm,8,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",28,2.827014759532176e-05,0.007006981189770619,0.006070927070700427,0.5954244010079801,-0.006070927070700427,0.006070927070700427,13353.469045428074,11896.736143103348,6.4990949523127135,-11896.736143103348,11896.736143103348,13353.469045428074,11896.736143103348
lstm,12,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",121,3.8427730032708496e-05,0.007589162147277647,0.0060181918612354,0.5916699884166665,-0.0060181918612354,0.0060181918612354,13811.579537910182,11380.268630721885,6.391049136960551,-11380.268630721885,11380.268630721885,13811.579537910182,11380.268630721885
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",81,2.3402561055263504e-05,0.0075396981336628135,0.006775635766112109,0.6639424840064184,-0.006775635766112109,0.006775635766112109,14577.318357336662,13379.226227179926,7.2415668602658005,-13379.226227179926,13379.226227179926,14577.318357336662,13379.226227179926
lstm,8,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",63,2.904068423958961e-05,0.0066815009037177004,0.005473068943479808,0.5322874783580989,-0.005321866559111377,0.005321866559111377,14913.054218296587,11761.82210520862,5.858368044459363,-11504.367285210037,11504.367285210037,14913.054218296587,11504.367285210037
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",89,2.2239459212869406e-05,0.006776361587080025,0.006054609957423041,0.5900622688446636,0.004042049957192639,0.004042049957192639,15883.873285635073,13813.438760148216,7.029428610562552,10096.903993912354,10096.903993912354,15883.873285635073,10096.903993912354
