model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,cv_rmse_train,rank_rmse_val_single,rank_rmse_val,rank_abs_mbe_val
gradient_boosting,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.019280017806845965,0.015516708678840486,75.44338620517789,0.0016568203182844696,0.0016568203182844696,8460.864943426695,7225.466787080014,3.1092696292969912,-6024.2056709805765,6024.2056709805765,0.1405489398600831,8460.864943426695,0.1405489398600831,6024.2056709805765
gradient_boosting,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.031960538676008114,0.024527835147492075,130.17145227050537,-0.0009412519868615467,0.0009412519868615467,13324.94432462177,12203.969980753014,5.123215029706544,-12203.969980753014,12203.969980753014,0.1408748410462686,13324.94432462177,0.1408748410462686,12203.969980753014
random_forest,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.011849385391147563,0.009244000100595146,75.6669327695688,-0.0011082129159159966,0.0011082129159159966,4426.963776207601,3756.936514241604,1.5646201055323352,-3756.936514241604,3756.936514241604,0.08166699941217738,4426.963776207601,0.08166699941217738,3756.936514241604
random_forest,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.014433314872688527,0.011275794213261843,87.57655186635297,-0.00020663231137681495,0.00020663231137681495,5839.125657097645,4761.970790373933,2.042342116664062,-4761.970790373933,4761.970790373933,0.08306052415002062,5839.125657097645,0.08306052415002062,4761.970790373933
random_forest,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.012709377251767476,0.010326179062545562,95.55302464847469,0.006495724855431851,0.006495724855431851,14270.806826895132,12177.532499342204,4.753748119216277,11703.329211925624,11703.329211925624,0.08341870700932312,14270.806826895132,0.08341870700932312,11703.329211925624
random_forest,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.016684990814435124,0.013687683476894447,120.68040916742844,0.010503668403908645,0.010503668403908645,21473.328016730105,17716.9706571878,6.852485444831482,16725.87666606863,16725.87666606863,0.08402764657876634,21473.328016730105,0.08402764657876634,16725.87666606863
random_forest,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.01475211415616867,0.011679734499430591,89.67472613296368,-0.0016317083089903625,0.0016317083089903625,7495.211410871072,6938.524966752538,2.895466734281783,-6938.524966752538,6938.524966752538,0.08494371493455526,7495.211410871072,0.08494371493455526,6938.524966752538
random_forest,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.013163021187857385,0.010671009241445541,98.74534061099877,0.006868330321825697,0.006868330321825697,14637.309575800646,12345.875935774415,4.805269316162897,11714.894587180328,11714.894587180328,0.08678234867242214,14637.309575800646,0.08678234867242214,11714.894587180328
random_forest,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.01270742852092157,0.010308702076766032,88.84624498698476,0.0017102782933734956,0.0017102782933734956,4476.06347136848,4211.911497388833,1.7437227873036827,740.508945327109,740.508945327109,0.08846940552708349,4476.06347136848,0.08846940552708349,740.508945327109
random_forest,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.020967710528722948,0.018570777783909826,113.35019543564404,0.003492023271557537,0.003492023271557537,6726.605567628382,5679.534147822812,2.3390086103225554,1070.1457540940658,1070.1457540940658,0.08887998548451852,6726.605567628382,0.08887998548451852,1070.1457540940658
random_forest,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.01562036725202191,0.012223853658047817,117.31136077198101,0.005772931397442376,0.005772931397442376,11253.301588080176,9874.670966478492,3.8812957435074353,7357.3317544880165,7357.3317544880165,0.09125141066156678,11253.301588080176,0.09125141066156678,7357.3317544880165
random_forest,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.013454909103935347,0.011471252000061218,94.70027909102944,0.004021891360683275,0.004021891360683275,8079.204620118911,7255.030655071918,2.877900485444487,4993.446645325251,4993.446645325251,0.09518425543593778,8079.204620118911,0.09518425543593778,4993.446645325251
random_forest,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.01914404248890415,0.016012270728407236,127.39253915238086,0.006712490101599446,0.006712490101599446,12460.76834124746,10980.742054004748,4.344572336949928,5659.654447573889,5659.654447573889,0.10276441117765948,12460.76834124746,0.10276441117765948,5659.654447573889
random_forest,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.016643556911445506,0.01386771962512575,117.36174702457467,0.006808324046077503,0.006808324046077503,12992.149948797438,11201.576334376508,4.385027879485779,7685.903056989293,7685.903056989293,0.10313116301001636,12992.149948797438,0.10313116301001636,7685.903056989293
