order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(0, 1, 4)","(0, 0, 0, 0)",0.04586097141121813,0.04138357105430721,495.65736753065306,0.03756779771804286,0.03756779771804286,115884.27341287407,92834.41127683276,45.4027233440322,92834.41127683276,92834.41127683276,-156.7961878637583,-156.0903055108171,5,115884.27341287407,92834.41127683276
"(1, 1, 4)","(0, 0, 0, 0)",0.047860324868587496,0.043473902681740915,518.6624163962026,0.039701080543478186,0.039701080543478186,124254.51575260346,98882.37561976821,48.291370503482895,98882.37561976821,98882.37561976821,-154.7787198747625,-153.7787198747625,6,124254.51575260346,98882.37561976821
"(2, 1, 3)","(0, 0, 0, 0)",0.04935052278946491,0.04528292784514924,533.5742162255992,0.04076167479956183,0.04076167479956183,127250.19721142086,99711.50880413635,48.537391411271166,99711.50880413635,99711.50880413635,-152.8873393499328,-151.8873393499328,6,127250.19721142086,99711.50880413635
"(3, 1, 2)","(0, 0, 0, 0)",0.04878471778714965,0.044667831320861634,524.6960034381044,0.04056004731092434,0.04056004731092434,127265.96082642199,100613.14745620426,49.06623430751231,100613.14745620426,100613.14745620426,-158.01736762008187,-157.01736762008187,6,127265.96082642199,100613.14745620426
"(3, 1, 3)","(0, 0, 0, 0)",0.04896838480572553,0.04466680258796944,527.3891249966125,0.04069603056662987,0.04069603056662987,127713.74974986649,100825.86173353033,49.156447192571704,100825.86173353033,100825.86173353033,-153.71941080368657,-152.37001321332514,7,127713.74974986649,100825.86173353033
"(1, 1, 3)","(0, 0, 0, 0)",0.04982296997377166,0.04591372091533292,535.6644683503721,0.04111510763620334,0.04111510763620334,128578.63576397793,100559.05833293634,48.93091250370906,100559.05833293634,100559.05833293634,-153.43233664353744,-152.72645429059625,5,128578.63576397793,100559.05833293634
"(4, 1, 3)","(0, 0, 0, 0)",0.04927725819152163,0.045053060923230845,529.8173682007736,0.04096212947094341,0.04096212947094341,128739.42280792024,101499.41820537388,49.470600203423736,101499.41820537388,101499.41820537388,-152.85591874377383,-151.09982118279822,8,128739.42280792024,101499.41820537388
"(4, 1, 1)","(0, 0, 0, 0)",0.04937187802889775,0.04532878797142987,532.6245642126279,0.04094001559235777,0.04094001559235777,128901.4452267994,101881.84474049218,49.68444243251026,101881.84474049218,101881.84474049218,-151.36999922641024,-150.36999922641024,6,128901.4452267994,101881.84474049218
"(3, 1, 1)","(0, 0, 0, 0)",0.04922704442364783,0.045327820117765476,534.6237393468568,0.040919388415286695,0.040919388415286695,129068.71361451104,102242.85364417038,49.883224001844724,102242.85364417038,102242.85364417038,-155.06621332258234,-154.36033096964115,5,129068.71361451104,102242.85364417038
"(0, 1, 3)","(0, 0, 0, 0)",0.050212403224810596,0.04640121323167177,545.4279111419071,0.04180833566934558,0.04180833566934558,132122.91558150217,103845.58680574682,50.58538026733693,103845.58680574682,103845.58680574682,-150.4062692230811,-149.94115294401132,4,132122.91558150217,103845.58680574682
"(0, 1, 1)","(0, 0, 0, 0)",0.05014783928007129,0.046047236416123426,542.7266197143729,0.04167432708110271,0.04167432708110271,132370.612026495,104907.58889811518,51.196769699069634,104907.58889811518,104907.58889811518,-154.32575738451638,-154.18939374815275,2,132370.612026495,104907.58889811518
"(2, 1, 1)","(0, 0, 0, 0)",0.049641749383725384,0.04564025861013501,541.2242508136236,0.04183109736330905,0.04183109736330905,132969.19418752127,105224.76694732736,51.32913394980548,105224.76694732736,105224.76694732736,-149.4201795481862,-148.95506326911644,4,132969.19418752127,105224.76694732736
"(0, 1, 2)","(0, 0, 0, 0)",0.05010845450299969,0.04623604021252502,545.091504926996,0.04194154258901354,0.04194154258901354,133012.2807947806,104834.58606339057,51.09663011338183,104834.58606339057,104834.58606339057,-151.96512612555978,-151.68926405659425,3,133012.2807947806,104834.58606339057
"(1, 1, 1)","(0, 0, 0, 0)",0.05036878504466409,0.046454933893110374,546.799439157999,0.042065310875368675,0.042065310875368675,133678.0029332991,105483.8767465865,51.42739569924978,105483.8767465865,105483.8767465865,-154.09526842704508,-153.81940635807956,3,133678.0029332991,105483.8767465865
"(1, 1, 2)","(0, 0, 0, 0)",0.051248499803491616,0.046888560539449176,542.3107658208419,0.04211992658808048,0.04211992658808048,134461.26960453315,106709.44467696529,52.09308024234509,106709.44467696529,106709.44467696529,-152.8586519298826,-152.39353565081282,4,134461.26960453315,106709.44467696529
"(2, 1, 2)","(0, 0, 0, 0)",0.05193665172835675,0.04774515600938278,546.8819285584528,0.04281291649426213,0.04281291649426213,136983.25689838035,108123.71465510175,52.71966500707862,108123.71465510175,108123.71465510175,-153.7297855206476,-153.0239031677064,5,136983.25689838035,108123.71465510175
